Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Abad Bécquer, Fernando",PSOE,Asamblea de Madrid,–,1 (V),1
"Abad Benedicto, Enrique",PSOE,Sevilla,–,"3 (VIII, IX, X)",3
"Abad i Giralt, Elisabeth","DL, CDC",Parlamento de Cataluña,–,"2 (XI, XII)",2
"Abad López-Brea, José Antonio †",CP,Zamora,–,1 (III),1
"Abad Pérez, Juan Antonio",PP,La Rioja,1 (X),–,1
"Abad Pinillos, María Isabel",PSOE,Burgos,1 (V),–,1
"Ábalos Meco, José Luis",PSOE,Valencia,"6 (IX, X, XI, XII, XIII, XIV)",–,6
"Abascal y Calabria, Ana María",PSOE,Toledo,1 (II),–,1
"Abascal Conde, Santiago",Vox,Madrid,"2 (XIII, XIV)",–,2
"Abascal Escuza, Santiago †",PP,Álava,1 (VII),–,1
"Abascal Jiménez, Patricia",PSOE,Ibiza-Formentera (Baleares),–,"2 (XIII, XIV)",2
"Abejón Adámez, Manuel",PSOE,Madrid,1 (II),–,1
"Abejón Ortega, Adolfo",PP,Valladolid,1 (VI),"3 (VII, VIII, IX)",4
"Abellán Martínez, Francisco",PSOE,Murcia / Asamblea Regional de Murcia,–,"2 (VIII, IX)",2
"Abreu Expósito, Aurelio",PSOE,Tenerife (Santa Cruz de Tenerife),–,"2 (IX, X)",2
"Abril Martorell, Fernando †",UCD,Valencia / Designación real,1 (I),1 (C),2
"Abril Martorell, Joaquín",CDS,Valencia,"2 (III, IV)",–,2
"Aburto Baselga, María Rosario Fátima",PSOE,Huelva,"2 (VIII, IX)",1 (VII),3
"Acacio Collado, Manuel",PP,Albacete,–,"3 (IV, V, VI)",3
"Acebes Paniagua, Ángel Jesús",PP,Ávila,"4 (VI, VII, VIII, IX)","2 (IV, V)",6
"Acedo Penco, Pedro","PP-EU, PP",Badajoz,1 (XII),"2 (X, XIII)",3
"Acedo Reyes, Sofía",PP,Melilla,–,"4 (XI, XII, XIII, XIV)",4
"Acevedo Bisshopp, Manuel",UCD,Santa Cruz de Tenerife,1 (C),–,1
"Acevedo Fernández, Gervasio",PP,Asturias,1 (VII),–,1
